model,dataset,seed,layer,initial_entropy,final_entropy,entropy_change,peak_entropy,peak_epoch,minimum_entropy,minimum_epoch
cnn,FashionMNIST,1,relu1,5.520746681731186,4.755227554029672,-0.7655191277015145,5.593590516949491,2,4.755227554029672,30
cnn,FashionMNIST,1,relu2,5.781640996682759,2.7046128806546417,-3.077028116028117,5.781640996682759,1,2.6721579033335896,26
cnn,FashionMNIST,1,relu3,5.108229244348522,3.6066007828153466,-1.5016284615331759,5.108229244348522,1,3.6066007828153466,30
cnn,FashionMNIST,2,relu1,5.5184823064183455,4.875206825152611,-0.6432754812657349,5.600030396007987,2,4.875206825152611,30
cnn,FashionMNIST,2,relu2,5.730333016423845,2.790091952061554,-2.9402410643622914,5.730333016423845,1,2.6639979166588112,26
cnn,FashionMNIST,2,relu3,4.606756296304445,3.4406161492199905,-1.1661401470844543,4.606756296304445,1,3.370558902503815,27
cnn,FashionMNIST,3,relu1,5.904728209458704,4.991809012079283,-0.9129191973794208,5.904728209458704,1,4.980167270469359,22
cnn,FashionMNIST,3,relu2,5.863402449356277,2.680700771397876,-3.182701677958401,5.863402449356277,1,2.6787743211774395,29
cnn,FashionMNIST,3,relu3,4.766129073884787,3.3654390214926257,-1.4006900523921608,4.766129073884787,1,3.364419671516816,27
cnn,FashionMNIST,4,relu1,5.262832376989309,4.891871434664721,-0.37096094232458743,5.548146274448479,9,4.891871434664721,30
cnn,FashionMNIST,4,relu2,6.045802913076971,2.7456667331377,-3.3001361799392708,6.045802913076971,1,2.561887758772303,27
cnn,FashionMNIST,4,relu3,5.249523979358128,3.829238540800386,-1.420285438557742,5.249523979358128,1,3.749911778924852,27
cnn,FashionMNIST,5,relu1,5.175413286569345,4.478465751847501,-0.6969475347218443,5.265261802825426,2,4.462811641836264,29
cnn,FashionMNIST,5,relu2,5.625244326312515,2.6098406367258327,-3.0154036895866825,5.625244326312515,1,2.505328616785651,29
cnn,FashionMNIST,5,relu3,5.492259176680765,3.9044055238130446,-1.5878536528677203,5.492259176680765,1,3.85841457393422,29
mlp,FashionMNIST,1,relu1,5.4678157946880965,2.848190050991028,-2.6196257436970685,5.4678157946880965,1,2.797107746265585,26
mlp,FashionMNIST,1,relu2,5.134081252776843,3.9121299979870936,-1.2219512547897495,5.134081252776843,1,3.815223077158071,28
mlp,FashionMNIST,2,relu1,5.312858695725381,2.7184903523794275,-2.5943683433459532,5.312858695725381,1,2.7184903523794275,30
mlp,FashionMNIST,2,relu2,5.336168478645165,3.869442410008117,-1.466726068637048,5.336168478645165,1,3.869442410008117,30
mlp,FashionMNIST,3,relu1,5.423650713911206,2.8348055472439,-2.588845166667306,5.423650713911206,1,2.8348055472439,30
mlp,FashionMNIST,3,relu2,4.990430107921737,3.755505737506355,-1.2349243704153823,4.990430107921737,1,3.6892671361929343,25
mlp,FashionMNIST,4,relu1,5.137732398512805,2.6706586445112546,-2.46707375400155,5.137732398512805,1,2.6193182691106465,28
mlp,FashionMNIST,4,relu2,5.127185544753623,3.9088881447291737,-1.2182974000244498,5.127185544753623,1,3.9088881447291737,30
mlp,FashionMNIST,5,relu1,5.24660541680222,2.8983387665196343,-2.3482666502825857,5.24660541680222,1,2.8445365721104494,26
mlp,FashionMNIST,5,relu2,5.063634083900096,3.638277738413241,-1.425356345486855,5.063634083900096,1,3.638277738413241,30
