model,dataset,epoch,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std,train_accuracy_mean,train_accuracy_std,val_accuracy_mean,val_accuracy_std,val_generalization_gap_mean,val_generalization_gap_std,n_seeds
cnn,FashionMNIST,1,0.5574329218711853,0.019112182591082754,0.3824530529499054,0.013046985570072233,0.8024519999999999,0.0066675122797037354,0.86274,0.005609634569203221,-0.06028799999999999,0.0022108640844700827,5
cnn,FashionMNIST,2,0.3517135881757736,0.008672435814149913,0.3233221257686615,0.00986115269834158,0.8740600000000001,0.003208769234457341,0.88072,0.0032383637843824763,-0.00665999999999998,0.002513801901502961,5
cnn,FashionMNIST,3,0.30315819605731964,0.008195505803947413,0.2934538327693939,0.006494932147553256,0.891028,0.003353404240469664,0.8913800000000001,0.0030078231330981026,-0.0003519999999999801,0.002758789589656981,5
cnn,FashionMNIST,4,0.27264809049797056,0.007721385919967972,0.2810079213762283,0.0063428159457834385,0.9013479999999999,0.003057927402669983,0.8956200000000001,0.003073597241019065,0.00572799999999996,0.0035823623490651704,5
cnn,FashionMNIST,5,0.24898631909561156,0.00854465482390825,0.2638935355997085,0.014840458534015773,0.910092,0.0030865709128416077,0.9031399999999999,0.005243376774560405,0.006951999999999981,0.005654919981750333,5
cnn,FashionMNIST,6,0.22987506423854825,0.007120613277180975,0.25264631448507313,0.0022381321674550415,0.9161199999999999,0.002617441498868688,0.90608,0.001688786546606721,0.010039999999999941,0.002859895102971401,5
cnn,FashionMNIST,7,0.21346827552509304,0.006570586893273508,0.252019362604618,0.015581379661490547,0.922036,0.002929177358918336,0.9064399999999999,0.006026856560430173,0.01559599999999998,0.004003708281081446,5
cnn,FashionMNIST,8,0.19803918572902676,0.008741462310718505,0.24538581828832623,0.009809289289720417,0.9273680000000001,0.0034343441877598933,0.9104199999999999,0.004742573141238828,0.016948,0.0035593707309017806,5
cnn,FashionMNIST,9,0.18363302535438533,0.007930943822356647,0.2414252000927925,0.01172817284984291,0.932588,0.0031703185959774194,0.91182,0.004577881606158024,0.020767999999999943,0.0033836843824447105,5
cnn,FashionMNIST,10,0.17143083700370784,0.00800892426290339,0.24012095893859858,0.003956590365098383,0.936772,0.003276632417589735,0.9133000000000001,0.0018083141320024928,0.0234719999999999,0.004343767949603203,5
cnn,FashionMNIST,11,0.15958095042467113,0.007817710481768384,0.2453992066454887,0.01119770360730943,0.9416800000000001,0.003577065836687924,0.91232,0.0038719504129056184,0.02935999999999996,0.005075667443794927,5
cnn,FashionMNIST,12,0.14681606925439833,0.0074136322732556055,0.23775631707191464,0.006202616719940609,0.9458719999999999,0.003080506451867948,0.9147399999999999,0.0015820872289478642,0.031131999999999938,0.0025077320431018666,5
cnn,FashionMNIST,13,0.13522754797840114,0.009184326095930225,0.2369746584630012,0.003486336891229282,0.950496,0.003430900756361235,0.91694,0.0028147824072208526,0.03355599999999994,0.0029320095497797857,5
