model,dataset,layer,epoch,activation_entropy_mean,activation_entropy_std,train_accuracy_mean,val_accuracy_mean,val_generalization_gap_mean,n_seeds,binning_method
cnn,FashionMNIST,relu1,1,5.476440572233377,0.28434430130646515,0.8024519999999999,0.86274,-0.06028799999999999,5,fd
cnn,FashionMNIST,relu1,2,5.562645450214426,0.22946921929722044,0.8740600000000001,0.88072,-0.00665999999999998,5,fd
cnn,FashionMNIST,relu1,3,5.485803360410454,0.23225435464140187,0.891028,0.8913800000000001,-0.0003519999999999801,5,fd
cnn,FashionMNIST,relu1,4,5.453276597746845,0.19304018987327565,0.9013479999999999,0.8956200000000001,0.00572799999999996,5,fd
cnn,FashionMNIST,relu1,5,5.416293079867811,0.2463975686931682,0.910092,0.9031399999999999,0.006951999999999981,5,fd
cnn,FashionMNIST,relu1,6,5.3352839432138275,0.33194603700029496,0.9161199999999999,0.90608,0.010039999999999941,5,fd
cnn,FashionMNIST,relu1,7,5.2537540927272754,0.3010340006984241,0.922036,0.9064399999999999,0.01559599999999998,5,fd
cnn,FashionMNIST,relu1,8,5.238502959482662,0.266760951565407,0.9273680000000001,0.9104199999999999,0.016948,5,fd
cnn,FashionMNIST,relu1,9,5.217674224909484,0.2574050856924879,0.932588,0.91182,0.020767999999999943,5,fd
cnn,FashionMNIST,relu1,10,5.117818690370216,0.29134994662150693,0.936772,0.9133000000000001,0.0234719999999999,5,fd
cnn,FashionMNIST,relu1,11,5.086108357412703,0.20649153474802312,0.9416800000000001,0.91232,0.02935999999999996,5,fd
cnn,FashionMNIST,relu1,12,5.158285076359282,0.263245508868212,0.9458719999999999,0.9147399999999999,0.031131999999999938,5,fd
cnn,FashionMNIST,relu1,13,5.019731318477319,0.2769830104131302,0.950496,0.91694,0.03355599999999994,5,fd
cnn,FashionMNIST,relu1,14,4.966528128065957,0.2807084954002684,0.954388,0.91102,0.04336799999999992,5,fd
cnn,FashionMNIST,relu1,15,5.014003299486109,0.3045219190861943,0.9578519999999999,0.9147000000000001,0.04315199999999998,5,fd
cnn,FashionMNIST,relu1,16,4.937023935540262,0.15436623062389465,0.9613479999999999,0.91214,0.04920799999999994,5,fd
cnn,FashionMNIST,relu1,17,4.9492613394278875,0.2701054172317736,0.9646440000000001,0.9153800000000001,0.04926399999999996,5,fd
cnn,FashionMNIST,relu1,18,4.99971208104383,0.2720825431906044,0.9688760000000001,0.91314,0.055735999999999966,5,fd
cnn,FashionMNIST,relu1,19,4.924465524882583,0.19557378668962933,0.9708840000000001,0.9131,0.057783999999999905,5,fd
cnn,FashionMNIST,relu1,20,4.959566521558679,0.19950597189975192,0.974128,0.91408,0.060047999999999976,5,fd
cnn,FashionMNIST,relu1,21,4.928728387678772,0.21448860613775975,0.976548,0.9141199999999999,0.06242799999999996,5,fd
cnn,FashionMNIST,relu1,22,4.9073449761662395,0.21670941199762742,0.9788920000000001,0.91318,0.06571199999999996,5,fd
cnn,FashionMNIST,relu1,23,4.933226812271288,0.17555955825104108,0.980876,0.91456,0.06631599999999997,5,fd
cnn,FashionMNIST,relu1,24,4.925521249942431,0.22047806963331906,0.9833320000000001,0.9122,0.07113199999999995,5,fd
cnn,FashionMNIST,relu1,25,4.866916121405228,0.25875824477980297,0.9838760000000001,0.91296,0.07091599999999995,5,fd
cnn,FashionMNIST,relu1,26,4.953414419721325,0.23441928208231635,0.986116,0.9134,0.07271599999999992,5,fd
cnn,FashionMNIST,relu1,27,4.911226702785504,0.14635977885233745,0.987232,0.91418,0.07305199999999996,5,fd
cnn,FashionMNIST,relu1,28,4.863002937403281,0.17969083172881048,0.9889279999999999,0.91496,0.07396799999999996,5,fd
cnn,FashionMNIST,relu1,29,4.8306933117146515,0.21908658693352465,0.989956,0.91232,0.07763599999999993,5,fd
cnn,FashionMNIST,relu1,30,4.798516115554757,0.19765181460060305,0.991068,0.9132199999999999,0.07784799999999995,5,fd
cnn,FashionMNIST,relu2,1,5.809284740370474,0.15790661617878296,0.8024519999999999,0.86274,-0.06028799999999999,5,fd
cnn,FashionMNIST,relu2,2,4.993941826804533,0.31520599905946967,0.8740600000000001,0.88072,-0.00665999999999998,5,fd
cnn,FashionMNIST,relu2,3,4.738099229831371,0.3570959917475242,0.891028,0.8913800000000001,-0.0003519999999999801,5,fd
cnn,FashionMNIST,relu2,4,4.496700101826223,0.24556277044779007,0.9013479999999999,0.8956200000000001,0.00572799999999996,5,fd
cnn,FashionMNIST,relu2,5,4.187516591058551,0.21627223871874363,0.910092,0.9031399999999999,0.006951999999999981,5,fd
cnn,FashionMNIST,relu2,6,3.9197814886030087,0.28958036176127805,0.9161199999999999,0.90608,0.010039999999999941,5,fd
cnn,FashionMNIST,relu2,7,3.8785057430363445,0.21627928176612704,0.922036,0.9064399999999999,0.01559599999999998,5,fd
cnn,FashionMNIST,relu2,8,3.613694679672945,0.1963297128986617,0.9273680000000001,0.9104199999999999,0.016948,5,fd
cnn,FashionMNIST,relu2,9,3.6952920793656014,0.1770616844334841,0.932588,0.91182,0.020767999999999943,5,fd
cnn,FashionMNIST,relu2,10,3.4924756536572836,0.09162969744281056,0.936772,0.9133000000000001,0.0234719999999999,5,fd
cnn,FashionMNIST,relu2,11,3.3993251954421986,0.22907741551638025,0.9416800000000001,0.91232,0.02935999999999996,5,fd
cnn,FashionMNIST,relu2,12,3.2746074438097224,0.173863874610925,0.9458719999999999,0.9147399999999999,0.031131999999999938,5,fd
cnn,FashionMNIST,relu2,13,3.2618130718618694,0.060422255818272194,0.950496,0.91694,0.03355599999999994,5,fd
cnn,FashionMNIST,relu2,14,3.1378341935569103,0.11028341559947469,0.954388,0.91102,0.04336799999999992,5,fd
cnn,FashionMNIST,relu2,15,3.0949532298550877,0.13298851203538342,0.9578519999999999,0.9147000000000001,0.04315199999999998,5,fd
cnn,FashionMNIST,relu2,16,3.0393882342052407,0.14329539962261234,0.9613479999999999,0.91214,0.04920799999999994,5,fd
cnn,FashionMNIST,relu2,17,2.995046430624365,0.09019346577519066,0.9646440000000001,0.9153800000000001,0.04926399999999996,5,fd
cnn,FashionMNIST,relu2,18,2.9399178561425905,0.0967514984012834,0.9688760000000001,0.91314,0.055735999999999966,5,fd
cnn,FashionMNIST,relu2,19,2.978887937911499,0.08962139707572864,0.9708840000000001,0.9131,0.057783999999999905,5,fd
cnn,FashionMNIST,relu2,20,2.867063931993972,0.07825057848767607,0.974128,0.91408,0.060047999999999976,5,fd
cnn,FashionMNIST,relu2,21,2.842904513719026,0.0401782627833531,0.976548,0.9141199999999999,0.06242799999999996,5,fd
cnn,FashionMNIST,relu2,22,2.8231892200816135,0.09183891704407905,0.9788920000000001,0.91318,0.06571199999999996,5,fd
cnn,FashionMNIST,relu2,23,2.8160598098581815,0.062153016179937653,0.980876,0.91456,0.06631599999999997,5,fd
cnn,FashionMNIST,relu2,24,2.7808069832949753,0.046091101259145874,0.9833320000000001,0.9122,0.07113199999999995,5,fd
cnn,FashionMNIST,relu2,25,2.772929258484092,0.09167307568926719,0.9838760000000001,0.91296,0.07091599999999995,5,fd
cnn,FashionMNIST,relu2,26,2.6807451840203305,0.07978469260356598,0.986116,0.9134,0.07271599999999992,5,fd
cnn,FashionMNIST,relu2,27,2.6531187127260756,0.09290421959557468,0.987232,0.91418,0.07305199999999996,5,fd
cnn,FashionMNIST,relu2,28,2.734040147286481,0.06984043751476392,0.9889279999999999,0.91496,0.07396799999999996,5,fd
cnn,FashionMNIST,relu2,29,2.6476588909867216,0.09983692947423434,0.989956,0.91232,0.07763599999999993,5,fd
cnn,FashionMNIST,relu2,30,2.7061825947955205,0.06806860074270206,0.991068,0.9132199999999999,0.07784799999999995,5,fd
cnn,FashionMNIST,relu3,1,5.044579554115329,0.3590593335320673,0.8024519999999999,0.86274,-0.06028799999999999,5,fd
cnn,FashionMNIST,relu3,2,4.661881609094294,0.30192665349468933,0.8740600000000001,0.88072,-0.00665999999999998,5,fd
cnn,FashionMNIST,relu3,3,4.5531292864812185,0.25557890022174856,0.891028,0.8913800000000001,-0.0003519999999999801,5,fd
cnn,FashionMNIST,relu3,4,4.3866253237745685,0.2798546954120776,0.9013479999999999,0.8956200000000001,0.00572799999999996,5,fd
cnn,FashionMNIST,relu3,5,4.276450946538121,0.3293025320285805,0.910092,0.9031399999999999,0.006951999999999981,5,fd
cnn,FashionMNIST,relu3,6,4.149326489353326,0.2923612743691182,0.9161199999999999,0.90608,0.010039999999999941,5,fd
cnn,FashionMNIST,relu3,7,4.14830715882103,0.27344856980040005,0.922036,0.9064399999999999,0.01559599999999998,5,fd
cnn,FashionMNIST,relu3,8,3.9924536006864715,0.2850537469727801,0.9273680000000001,0.9104199999999999,0.016948,5,fd
cnn,FashionMNIST,relu3,9,4.069625125562447,0.2764307865566871,0.932588,0.91182,0.020767999999999943,5,fd
cnn,FashionMNIST,relu3,10,4.012144468686278,0.29707516144381685,0.936772,0.9133000000000001,0.0234719999999999,5,fd
cnn,FashionMNIST,relu3,11,3.9487182155950933,0.28497702858705165,0.9416800000000001,0.91232,0.02935999999999996,5,fd
cnn,FashionMNIST,relu3,12,3.840922835346548,0.28501758863495397,0.9458719999999999,0.9147399999999999,0.031131999999999938,5,fd
cnn,FashionMNIST,relu3,13,3.8295934260569737,0.2772238418150373,0.950496,0.91694,0.03355599999999994,5,fd
cnn,FashionMNIST,relu3,14,3.8186482616802593,0.23180035840496557,0.954388,0.91102,0.04336799999999992,5,fd
cnn,FashionMNIST,relu3,15,3.7961634059436777,0.2167315030192264,0.9578519999999999,0.9147000000000001,0.04315199999999998,5,fd
cnn,FashionMNIST,relu3,16,3.792701347062369,0.21582988107030585,0.9613479999999999,0.91214,0.04920799999999994,5,fd
cnn,FashionMNIST,relu3,17,3.699184751050452,0.2071631091438187,0.9646440000000001,0.9153800000000001,0.04926399999999996,5,fd
cnn,FashionMNIST,relu3,18,3.725472647741391,0.2683690338512649,0.9688760000000001,0.91314,0.055735999999999966,5,fd
cnn,FashionMNIST,relu3,19,3.7319550989638075,0.23915583096001458,0.9708840000000001,0.9131,0.057783999999999905,5,fd
cnn,FashionMNIST,relu3,20,3.7649471694616223,0.2647549693424899,0.974128,0.91408,0.060047999999999976,5,fd
cnn,FashionMNIST,relu3,21,3.682417208799732,0.2680993096374936,0.976548,0.9141199999999999,0.06242799999999996,5,fd
cnn,FashionMNIST,relu3,22,3.763924039975034,0.24001265459416957,0.9788920000000001,0.91318,0.06571199999999996,5,fd
cnn,FashionMNIST,relu3,23,3.7124713758200003,0.24216085529703335,0.980876,0.91456,0.06631599999999997,5,fd
cnn,FashionMNIST,relu3,24,3.6688958634186606,0.27371085077063945,0.9833320000000001,0.9122,0.07113199999999995,5,fd
cnn,FashionMNIST,relu3,25,3.6588394007914085,0.23023695122479107,0.9838760000000001,0.91296,0.07091599999999995,5,fd
cnn,FashionMNIST,relu3,26,3.6637830184196325,0.2589652061855404,0.986116,0.9134,0.07271599999999992,5,fd
cnn,FashionMNIST,relu3,27,3.625475844236317,0.23968138889773355,0.987232,0.91418,0.07305199999999996,5,fd
cnn,FashionMNIST,relu3,28,3.6637460704802294,0.2305592178123064,0.9889279999999999,0.91496,0.07396799999999996,5,fd
cnn,FashionMNIST,relu3,29,3.6508212844875536,0.1759688503876091,0.989956,0.91232,0.07763599999999993,5,fd
cnn,FashionMNIST,relu3,30,3.6292600036282785,0.23526470587198514,0.991068,0.9132199999999999,0.07784799999999995,5,fd
mlp,FashionMNIST,relu1,1,5.317732603927942,0.1334414814162485,0.805604,0.8462400000000001,-0.040635999999999964,5,fd
