epoch,model,dataset,seed,split_seed,layer,activation_entropy,train_loss,val_loss,train_accuracy,val_accuracy,val_generalization_gap,source_file
1,cnn,FashionMNIST,1,42,relu1,3.210162534452878,0.5727131441783905,0.398045642375946,0.7967,0.8566,-0.0599,cnn_FashionMNIST_seed1_entropy_history.csv
1,cnn,FashionMNIST,1,42,relu2,2.9597413039045857,0.5727131441783905,0.398045642375946,0.7967,0.8566,-0.0599,cnn_FashionMNIST_seed1_entropy_history.csv
1,cnn,FashionMNIST,1,42,relu3,3.1343592272372254,0.5727131441783905,0.398045642375946,0.7967,0.8566,-0.0599,cnn_FashionMNIST_seed1_entropy_history.csv
2,cnn,FashionMNIST,1,42,relu1,3.246952123054422,0.3501086305570602,0.3311721341609955,0.8748,0.8776,-0.0028,cnn_FashionMNIST_seed1_entropy_history.csv
2,cnn,FashionMNIST,1,42,relu2,2.477111313034448,0.3501086305570602,0.3311721341609955,0.8748,0.8776,-0.0028,cnn_FashionMNIST_seed1_entropy_history.csv
2,cnn,FashionMNIST,1,42,relu3,2.8208571242014457,0.3501086305570602,0.3311721341609955,0.8748,0.8776,-0.0028,cnn_FashionMNIST_seed1_entropy_history.csv
3,cnn,FashionMNIST,1,42,relu1,3.220044192568607,0.2993679814434051,0.2964451876878738,0.89334,0.8901,0.00324,cnn_FashionMNIST_seed1_entropy_history.csv
3,cnn,FashionMNIST,1,42,relu2,2.45073945358336,0.2993679814434051,0.2964451876878738,0.89334,0.8901,0.00324,cnn_FashionMNIST_seed1_entropy_history.csv
3,cnn,FashionMNIST,1,42,relu3,2.8064711448025363,0.2993679814434051,0.2964451876878738,0.89334,0.8901,0.00324,cnn_FashionMNIST_seed1_entropy_history.csv
4,cnn,FashionMNIST,1,42,relu1,3.137093588134142,0.2745104633331299,0.2841644126653671,0.90156,0.8952,0.00636,cnn_FashionMNIST_seed1_entropy_history.csv
4,cnn,FashionMNIST,1,42,relu2,2.3090119492001477,0.2745104633331299,0.2841644126653671,0.90156,0.8952,0.00636,cnn_FashionMNIST_seed1_entropy_history.csv
4,cnn,FashionMNIST,1,42,relu3,2.663724254524132,0.2745104633331299,0.2841644126653671,0.90156,0.8952,0.00636,cnn_FashionMNIST_seed1_entropy_history.csv
5,cnn,FashionMNIST,1,42,relu1,3.1769936119315108,0.2476684132003784,0.2621154238939285,0.9115,0.9033,0.0081999999999999,cnn_FashionMNIST_seed1_entropy_history.csv
5,cnn,FashionMNIST,1,42,relu2,2.135029285735533,0.2476684132003784,0.2621154238939285,0.9115,0.9033,0.0081999999999999,cnn_FashionMNIST_seed1_entropy_history.csv
5,cnn,FashionMNIST,1,42,relu3,2.6215419137480462,0.2476684132003784,0.2621154238939285,0.9115,0.9033,0.0081999999999999,cnn_FashionMNIST_seed1_entropy_history.csv
6,cnn,FashionMNIST,1,42,relu1,3.095716022767275,0.2259253581428527,0.2491258328795433,0.9175,0.9081,0.0093999999999999,cnn_FashionMNIST_seed1_entropy_history.csv
6,cnn,FashionMNIST,1,42,relu2,2.0828388913371096,0.2259253581428527,0.2491258328795433,0.9175,0.9081,0.0093999999999999,cnn_FashionMNIST_seed1_entropy_history.csv
6,cnn,FashionMNIST,1,42,relu3,2.633521325821526,0.2259253581428527,0.2491258328795433,0.9175,0.9081,0.0093999999999999,cnn_FashionMNIST_seed1_entropy_history.csv
7,cnn,FashionMNIST,1,42,relu1,3.0829074168203743,0.2128073066425323,0.2427314640641212,0.92344,0.911,0.01244,cnn_FashionMNIST_seed1_entropy_history.csv
7,cnn,FashionMNIST,1,42,relu2,2.0271524236401217,0.2128073066425323,0.2427314640641212,0.92344,0.911,0.01244,cnn_FashionMNIST_seed1_entropy_history.csv
7,cnn,FashionMNIST,1,42,relu3,2.614378252416993,0.2128073066425323,0.2427314640641212,0.92344,0.911,0.01244,cnn_FashionMNIST_seed1_entropy_history.csv
8,cnn,FashionMNIST,1,42,relu1,3.0940626104954068,0.1939878060150146,0.2558112096190452,0.92934,0.9077,0.0216400000000001,cnn_FashionMNIST_seed1_entropy_history.csv
8,cnn,FashionMNIST,1,42,relu2,1.863850213381165,0.1939878060150146,0.2558112096190452,0.92934,0.9077,0.0216400000000001,cnn_FashionMNIST_seed1_entropy_history.csv
8,cnn,FashionMNIST,1,42,relu3,2.4552431256297917,0.1939878060150146,0.2558112096190452,0.92934,0.9077,0.0216400000000001,cnn_FashionMNIST_seed1_entropy_history.csv
9,cnn,FashionMNIST,1,42,relu1,2.8744129329347654,0.1824878611326217,0.2538671796679497,0.93318,0.9092,0.02398,cnn_FashionMNIST_seed1_entropy_history.csv
9,cnn,FashionMNIST,1,42,relu2,2.0225418025635142,0.1824878611326217,0.2538671796679497,0.93318,0.9092,0.02398,cnn_FashionMNIST_seed1_entropy_history.csv
9,cnn,FashionMNIST,1,42,relu3,2.6159534486355813,0.1824878611326217,0.2538671796679497,0.93318,0.9092,0.02398,cnn_FashionMNIST_seed1_entropy_history.csv
10,cnn,FashionMNIST,1,42,relu1,3.045135513628608,0.1679996959495544,0.2384557428240776,0.93902,0.9145,0.0245199999999999,cnn_FashionMNIST_seed1_entropy_history.csv
10,cnn,FashionMNIST,1,42,relu2,1.8175279325310432,0.1679996959495544,0.2384557428240776,0.93902,0.9145,0.0245199999999999,cnn_FashionMNIST_seed1_entropy_history.csv
10,cnn,FashionMNIST,1,42,relu3,2.5042427852532185,0.1679996959495544,0.2384557428240776,0.93902,0.9145,0.0245199999999999,cnn_FashionMNIST_seed1_entropy_history.csv
11,cnn,FashionMNIST,1,42,relu1,2.996612409589644,0.1572685356688499,0.2438324334621429,0.94206,0.911,0.0310599999999999,cnn_FashionMNIST_seed1_entropy_history.csv
11,cnn,FashionMNIST,1,42,relu2,1.8271231863757496,0.1572685356688499,0.2438324334621429,0.94206,0.911,0.0310599999999999,cnn_FashionMNIST_seed1_entropy_history.csv
11,cnn,FashionMNIST,1,42,relu3,2.546563982258091,0.1572685356688499,0.2438324334621429,0.94206,0.911,0.0310599999999999,cnn_FashionMNIST_seed1_entropy_history.csv
12,cnn,FashionMNIST,1,42,relu1,2.94002135517594,0.1426597235393524,0.2317890727400779,0.9471,0.9167,0.0304,cnn_FashionMNIST_seed1_entropy_history.csv
12,cnn,FashionMNIST,1,42,relu2,1.7269597690624248,0.1426597235393524,0.2317890727400779,0.9471,0.9167,0.0304,cnn_FashionMNIST_seed1_entropy_history.csv
12,cnn,FashionMNIST,1,42,relu3,2.3623450267128927,0.1426597235393524,0.2317890727400779,0.9471,0.9167,0.0304,cnn_FashionMNIST_seed1_entropy_history.csv
13,cnn,FashionMNIST,1,42,relu1,2.938421389160069,0.1315137184286117,0.2386179903268814,0.95164,0.9189,0.0327399999999999,cnn_FashionMNIST_seed1_entropy_history.csv
13,cnn,FashionMNIST,1,42,relu2,1.763362788949676,0.1315137184286117,0.2386179903268814,0.95164,0.9189,0.0327399999999999,cnn_FashionMNIST_seed1_entropy_history.csv
13,cnn,FashionMNIST,1,42,relu3,2.45234636641212,0.1315137184286117,0.2386179903268814,0.95164,0.9189,0.0327399999999999,cnn_FashionMNIST_seed1_entropy_history.csv
14,cnn,FashionMNIST,1,42,relu1,2.917233056327613,0.1208637749719619,0.238221091890335,0.95528,0.9153,0.03998,cnn_FashionMNIST_seed1_entropy_history.csv
14,cnn,FashionMNIST,1,42,relu2,1.6833783978815815,0.1208637749719619,0.238221091890335,0.95528,0.9153,0.03998,cnn_FashionMNIST_seed1_entropy_history.csv
14,cnn,FashionMNIST,1,42,relu3,2.382348716538939,0.1208637749719619,0.238221091890335,0.95528,0.9153,0.03998,cnn_FashionMNIST_seed1_entropy_history.csv
15,cnn,FashionMNIST,1,42,relu1,2.90952135920758,0.1095196640801429,0.2542626712799072,0.95978,0.9106,0.04918,cnn_FashionMNIST_seed1_entropy_history.csv
15,cnn,FashionMNIST,1,42,relu2,1.6506069299221056,0.1095196640801429,0.2542626712799072,0.95978,0.9106,0.04918,cnn_FashionMNIST_seed1_entropy_history.csv
15,cnn,FashionMNIST,1,42,relu3,2.3781479042235274,0.1095196640801429,0.2542626712799072,0.95978,0.9106,0.04918,cnn_FashionMNIST_seed1_entropy_history.csv
16,cnn,FashionMNIST,1,42,relu1,2.9140943554744814,0.1007451579666137,0.2560030944705009,0.96346,0.9151,0.0483599999999999,cnn_FashionMNIST_seed1_entropy_history.csv
16,cnn,FashionMNIST,1,42,relu2,1.6177571017305412,0.1007451579666137,0.2560030944705009,0.96346,0.9151,0.0483599999999999,cnn_FashionMNIST_seed1_entropy_history.csv
16,cnn,FashionMNIST,1,42,relu3,2.411258573345573,0.1007451579666137,0.2560030944705009,0.96346,0.9151,0.0483599999999999,cnn_FashionMNIST_seed1_entropy_history.csv
17,cnn,FashionMNIST,1,42,relu1,2.920586155761593,0.0892152373838424,0.2628816682338714,0.96724,0.9129,0.0543399999999999,cnn_FashionMNIST_seed1_entropy_history.csv
17,cnn,FashionMNIST,1,42,relu2,1.6814524305318952,0.0892152373838424,0.2628816682338714,0.96724,0.9129,0.0543399999999999,cnn_FashionMNIST_seed1_entropy_history.csv
17,cnn,FashionMNIST,1,42,relu3,2.3403440472478536,0.0892152373838424,0.2628816682338714,0.96724,0.9129,0.0543399999999999,cnn_FashionMNIST_seed1_entropy_history.csv
18,cnn,FashionMNIST,1,42,relu1,2.873733800160767,0.0820927815985679,0.2862160643100738,0.97016,0.9122,0.05796,cnn_FashionMNIST_seed1_entropy_history.csv
18,cnn,FashionMNIST,1,42,relu2,1.6549026698108096,0.0820927815985679,0.2862160643100738,0.97016,0.9122,0.05796,cnn_FashionMNIST_seed1_entropy_history.csv
18,cnn,FashionMNIST,1,42,relu3,2.4069436533304973,0.0820927815985679,0.2862160643100738,0.97016,0.9122,0.05796,cnn_FashionMNIST_seed1_entropy_history.csv
19,cnn,FashionMNIST,1,42,relu1,2.9624123471851336,0.0747888074231147,0.2965356187820434,0.9728,0.9118,0.0609999999999999,cnn_FashionMNIST_seed1_entropy_history.csv
