binning_method,model,dataset,seed,layer,initial_entropy,final_entropy,entropy_change,peak_entropy,peak_epoch,minimum_entropy,minimum_epoch
fixed50,cnn,FashionMNIST,1,relu1,3.210162534452878,2.972646503707943,-0.23751603074493488,3.246952123054422,2,2.873733800160767,18
fixed50,cnn,FashionMNIST,1,relu2,2.9597413039045857,1.559855599013949,-1.3998857048906366,2.9597413039045857,1,1.5292677911946162,22
fixed50,cnn,FashionMNIST,1,relu3,3.1343592272372254,2.381737238403209,-0.7526219888340164,3.1343592272372254,1,2.3403440472478536,17
fixed50,cnn,FashionMNIST,2,relu1,3.3358981429107075,3.0720353290163653,-0.2638628138943422,3.404171036523012,2,3.0178640735778277,18
fixed50,cnn,FashionMNIST,2,relu2,3.041059366025786,1.635444154643899,-1.405615211381887,3.041059366025786,1,1.5470519326343972,26
fixed50,cnn,FashionMNIST,2,relu3,2.885060317750887,2.303479257656665,-0.581581060094222,2.885060317750887,1,2.203060758204568,12
fixed50,cnn,FashionMNIST,3,relu1,3.652867401724732,3.119445335218676,-0.5334220665060556,3.652867401724732,1,3.119445335218676,30
fixed50,cnn,FashionMNIST,3,relu2,3.145158658882471,1.5821112884736623,-1.5630473704088088,3.145158658882471,1,1.5821112884736623,30
fixed50,cnn,FashionMNIST,3,relu3,2.982041290934138,2.258026974749274,-0.724014316184864,2.982041290934138,1,2.2090555028658274,18
fixed50,cnn,FashionMNIST,4,relu1,2.9148239939606007,2.9370442548019366,0.022220260841335993,3.138422623701926,7,2.874110360706753,29
fixed50,cnn,FashionMNIST,4,relu2,3.09787264539275,1.5886983501049154,-1.5091742952878346,3.09787264539275,1,1.4782292330393023,27
fixed50,cnn,FashionMNIST,4,relu3,3.2105578701064617,2.5365018770006342,-0.6740559931058274,3.2105578701064617,1,2.3779189082834127,12
fixed50,cnn,FashionMNIST,5,relu1,3.141874879896907,2.874178940268241,-0.2676959396286658,3.141874879896907,1,2.756494774618349,17
fixed50,cnn,FashionMNIST,5,relu2,2.870940548671951,1.51535513421192,-1.355585414460031,2.870940548671951,1,1.447501954631269,27
fixed50,cnn,FashionMNIST,5,relu3,3.298765251747634,2.5444003928723373,-0.7543648588752965,3.298765251747634,1,2.4851262633238016,17
fixed50,mlp,FashionMNIST,1,relu1,2.7846389611253173,1.684165853401029,-1.1004731077242882,2.7846389611253173,1,1.6432704010342871,26
fixed50,mlp,FashionMNIST,1,relu2,2.971193552193442,2.470675828680809,-0.5005177235126332,2.971193552193442,1,2.398160215312787,20
fixed50,mlp,FashionMNIST,2,relu1,2.72860263205362,1.6108165391332123,-1.1177860929204078,2.72860263205362,1,1.6108165391332123,30
fixed50,mlp,FashionMNIST,2,relu2,3.04117259097904,2.4285808407995577,-0.6125917501794822,3.04117259097904,1,2.4220619559998537,28
fixed50,mlp,FashionMNIST,3,relu1,2.7439100347472976,1.6736182921670328,-1.0702917425802647,2.7439100347472976,1,1.6736182921670328,30
fixed50,mlp,FashionMNIST,3,relu2,2.837753310451908,2.3638938254255213,-0.47385948502638664,2.837753310451908,1,2.3060103742484888,25
fixed50,mlp,FashionMNIST,4,relu1,2.6303655336889413,1.57855582354864,-1.0518097101403012,2.6303655336889413,1,1.549387739245215,28
fixed50,mlp,FashionMNIST,4,relu2,2.896585542696069,2.4454021904515053,-0.45118335224456363,2.896585542696069,1,2.4372823550916807,17
fixed50,mlp,FashionMNIST,5,relu1,2.677855242692315,1.7095116024375332,-0.9683436402547816,2.677855242692315,1,1.662021835735708,26
fixed50,mlp,FashionMNIST,5,relu2,2.899041536392906,2.29674832977765,-0.602293206615256,2.899041536392906,1,2.29674832977765,30
