epoch,model,dataset,seed,split_seed,layer,activation_entropy,train_loss,val_loss,train_accuracy,val_accuracy,val_generalization_gap
1,mlp,FashionMNIST,3,42,relu1,2.7439100347472976,0.5454959053897858,0.4112071596622467,0.8032,0.8506,-0.0474
1,mlp,FashionMNIST,3,42,relu2,2.837753310451908,0.5454959053897858,0.4112071596622467,0.8032,0.8506,-0.0474
2,mlp,FashionMNIST,3,42,relu1,2.552918339047938,0.38847649614334107,0.391943879365921,0.85872,0.8526,0.006120000000000014
2,mlp,FashionMNIST,3,42,relu2,2.8195285342735605,0.38847649614334107,0.391943879365921,0.85872,0.8526,0.006120000000000014
3,mlp,FashionMNIST,3,42,relu1,2.4459276741217293,0.34633782029151916,0.3588974669933319,0.8725,0.863,0.009500000000000064
3,mlp,FashionMNIST,3,42,relu2,2.7178926941843127,0.34633782029151916,0.3588974669933319,0.8725,0.863,0.009500000000000064
4,mlp,FashionMNIST,3,42,relu1,2.283561465080283,0.3207338984584808,0.33990630435943603,0.88024,0.8721,0.008140000000000036
4,mlp,FashionMNIST,3,42,relu2,2.667305440147697,0.3207338984584808,0.33990630435943603,0.88024,0.8721,0.008140000000000036
5,mlp,FashionMNIST,3,42,relu1,2.1742617450426307,0.2974054247093201,0.32527937774658205,0.89044,0.8799,0.010539999999999994
5,mlp,FashionMNIST,3,42,relu2,2.625903989431727,0.2974054247093201,0.32527937774658205,0.89044,0.8799,0.010539999999999994
6,mlp,FashionMNIST,3,42,relu1,2.1226803702385824,0.2818712925386429,0.32074427366256714,0.89522,0.8809,0.01432
6,mlp,FashionMNIST,3,42,relu2,2.657557369021895,0.2818712925386429,0.32074427366256714,0.89522,0.8809,0.01432
7,mlp,FashionMNIST,3,42,relu1,2.035344048761149,0.2677960593700409,0.339607363653183,0.89906,0.8743,0.024760000000000004
7,mlp,FashionMNIST,3,42,relu2,2.534991909481923,0.2677960593700409,0.339607363653183,0.89906,0.8743,0.024760000000000004
8,mlp,FashionMNIST,3,42,relu1,2.0168568128088484,0.256239895734787,0.3089698303461075,0.904,0.8847,0.019299999999999984
8,mlp,FashionMNIST,3,42,relu2,2.5437760267547453,0.256239895734787,0.3089698303461075,0.904,0.8847,0.019299999999999984
9,mlp,FashionMNIST,3,42,relu1,2.0364885698194355,0.2410849551486969,0.31422830336093904,0.91004,0.8857,0.024339999999999917
9,mlp,FashionMNIST,3,42,relu2,2.6157803115325744,0.2410849551486969,0.31422830336093904,0.91004,0.8857,0.024339999999999917
10,mlp,FashionMNIST,3,42,relu1,1.9277364648190747,0.23040819060325624,0.28994462379217145,0.91234,0.8939,0.018440000000000012
10,mlp,FashionMNIST,3,42,relu2,2.5259700562690273,0.23040819060325624,0.28994462379217145,0.91234,0.8939,0.018440000000000012
11,mlp,FashionMNIST,3,42,relu1,1.8392842829687515,0.22093503049850463,0.32619622116088864,0.91606,0.8838,0.032259999999999955
11,mlp,FashionMNIST,3,42,relu2,2.516869310197528,0.22093503049850463,0.32619622116088864,0.91606,0.8838,0.032259999999999955
12,mlp,FashionMNIST,3,42,relu1,1.9627008781194912,0.20907131324291228,0.2993078790426254,0.92164,0.894,0.027639999999999998
12,mlp,FashionMNIST,3,42,relu2,2.599944397365257,0.20907131324291228,0.2993078790426254,0.92164,0.894,0.027639999999999998
13,mlp,FashionMNIST,3,42,relu1,1.8235981075554355,0.19960050392389297,0.31051393418312073,0.92374,0.8928,0.030939999999999968
13,mlp,FashionMNIST,3,42,relu2,2.44632402289205,0.19960050392389297,0.31051393418312073,0.92374,0.8928,0.030939999999999968
14,mlp,FashionMNIST,3,42,relu1,1.8072697716462203,0.19338784319877625,0.30451143128871916,0.92688,0.8927,0.03417999999999999
14,mlp,FashionMNIST,3,42,relu2,2.4761875192953537,0.19338784319877625,0.30451143128871916,0.92688,0.8927,0.03417999999999999
15,mlp,FashionMNIST,3,42,relu1,1.8439643459870614,0.18265650874376296,0.2992931560277939,0.93114,0.8959,0.03523999999999994
15,mlp,FashionMNIST,3,42,relu2,2.4284107606055607,0.18265650874376296,0.2992931560277939,0.93114,0.8959,0.03523999999999994
16,mlp,FashionMNIST,3,42,relu1,1.8566504852619121,0.17289671003818513,0.31890247304439545,0.93418,0.8938,0.04037999999999997
16,mlp,FashionMNIST,3,42,relu2,2.515056676054967,0.17289671003818513,0.31890247304439545,0.93418,0.8938,0.04037999999999997
17,mlp,FashionMNIST,3,42,relu1,1.761036414143899,0.1645901356434822,0.3238556448698044,0.93794,0.893,0.04493999999999998
17,mlp,FashionMNIST,3,42,relu2,2.462209581630302,0.1645901356434822,0.3238556448698044,0.93794,0.893,0.04493999999999998
18,mlp,FashionMNIST,3,42,relu1,1.7286172326276088,0.15982990762233734,0.35096752648353574,0.94052,0.8868,0.05371999999999999
18,mlp,FashionMNIST,3,42,relu2,2.4259793957806646,0.15982990762233734,0.35096752648353574,0.94052,0.8868,0.05371999999999999
19,mlp,FashionMNIST,3,42,relu1,1.730671743513658,0.15557258949518205,0.34222661514282227,0.94088,0.8895,0.05138000000000009
19,mlp,FashionMNIST,3,42,relu2,2.4050632417016233,0.15557258949518205,0.34222661514282227,0.94088,0.8895,0.05138000000000009
20,mlp,FashionMNIST,3,42,relu1,1.7731344569115572,0.14778746090888978,0.35515535614490507,0.94364,0.8875,0.05614000000000008
20,mlp,FashionMNIST,3,42,relu2,2.4336743387994626,0.14778746090888978,0.35515535614490507,0.94364,0.8875,0.05614000000000008
21,mlp,FashionMNIST,3,42,relu1,1.748258410432107,0.1394825307750702,0.3503408146858215,0.94738,0.8912,0.05618000000000001
21,mlp,FashionMNIST,3,42,relu2,2.4161633062778427,0.1394825307750702,0.3503408146858215,0.94738,0.8912,0.05618000000000001
22,mlp,FashionMNIST,3,42,relu1,1.7432029943536236,0.13260460953235625,0.34817092514038084,0.9505,0.8939,0.056599999999999984
22,mlp,FashionMNIST,3,42,relu2,2.410297863929633,0.13260460953235625,0.34817092514038084,0.9505,0.8939,0.056599999999999984
23,mlp,FashionMNIST,3,42,relu1,1.7621188726692905,0.12529075734615325,0.3553790056705475,0.9525,0.8915,0.061000000000000054
23,mlp,FashionMNIST,3,42,relu2,2.3816775328588236,0.12529075734615325,0.3553790056705475,0.9525,0.8915,0.061000000000000054
24,mlp,FashionMNIST,3,42,relu1,1.7169654698532575,0.11839668617248535,0.34276228773593903,0.95596,0.8993,0.056660000000000044
24,mlp,FashionMNIST,3,42,relu2,2.343285712845781,0.11839668617248535,0.34276228773593903,0.95596,0.8993,0.056660000000000044
25,mlp,FashionMNIST,3,42,relu1,1.6999562284637986,0.11744046538591385,0.36020585741996763,0.95582,0.8977,0.05811999999999995
25,mlp,FashionMNIST,3,42,relu2,2.3060103742484888,0.11744046538591385,0.36020585741996763,0.95582,0.8977,0.05811999999999995
26,mlp,FashionMNIST,3,42,relu1,1.6992521752492291,0.1119739516210556,0.3654926930189133,0.95848,0.8944,0.06408000000000003
26,mlp,FashionMNIST,3,42,relu2,2.3357819497767798,0.1119739516210556,0.3654926930189133,0.95848,0.8944,0.06408000000000003
27,mlp,FashionMNIST,3,42,relu1,1.7226548950716067,0.10321448863983154,0.3832091401576996,0.96128,0.8945,0.06678000000000006
27,mlp,FashionMNIST,3,42,relu2,2.420077496886228,0.10321448863983154,0.3832091401576996,0.96128,0.8945,0.06678000000000006
28,mlp,FashionMNIST,3,42,relu1,1.7195835530038703,0.09986743894815445,0.3861512137413025,0.9624,0.8966,0.06580000000000008
28,mlp,FashionMNIST,3,42,relu2,2.352739463549249,0.09986743894815445,0.3861512137413025,0.9624,0.8966,0.06580000000000008
29,mlp,FashionMNIST,3,42,relu1,1.7166045184820664,0.09277389711141586,0.40538906500339505,0.96518,0.8936,0.07158000000000009
29,mlp,FashionMNIST,3,42,relu2,2.3697998653228485,0.09277389711141586,0.40538906500339505,0.96518,0.8936,0.07158000000000009
30,mlp,FashionMNIST,3,42,relu1,1.6736182921670328,0.09284783364772797,0.42858146941661834,0.96508,0.8855,0.0795800000000001
30,mlp,FashionMNIST,3,42,relu2,2.3638938254255213,0.09284783364772797,0.42858146941661834,0.96508,0.8855,0.0795800000000001
